"naps","city","p","latitude","longitude","date.time","pollutant","concentration"
60512,"Hamilton","ON",43.25778,-79.86167,2018-01-01 00:00:00,"O3",27
60512,"Hamilton","ON",43.25778,-79.86167,2018-01-01 00:00:00,"NO2",13
60512,"Hamilton","ON",43.25778,-79.86167,2018-01-01 00:00:00,"SO2",0
60512,"Hamilton","ON",43.25778,-79.86167,2018-01-01 01:00:00,"O3",16
60512,"Hamilton","ON",43.25778,-79.86167,2018-01-01 01:00:00,"NO2",25
60512,"Hamilton","ON",43.25778,-79.86167,2018-01-01 01:00:00,"SO2",0
60512,"Hamilton","ON",43.25778,-79.86167,2018-01-01 02:00:00,"O3",13
60512,"Hamilton","ON",43.25778,-79.86167,2018-01-01 02:00:00,"NO2",27
60512,"Hamilton","ON",43.25778,-79.86167,2018-01-01 02:00:00,"SO2",0
60512,"Hamilton","ON",43.25778,-79.86167,2018-01-01 03:00:00,"O3",3
60512,"Hamilton","ON",43.25778,-79.86167,2018-01-01 03:00:00,"NO2",41
60512,"Hamilton","ON",43.25778,-79.86167,2018-01-01 03:00:00,"SO2",0
60512,"Hamilton","ON",43.25778,-79.86167,2018-01-01 04:00:00,"O3",3
60512,"Hamilton","ON",43.25778,-79.86167,2018-01-01 04:00:00,"NO2",43
60512,"Hamilton","ON",43.25778,-79.86167,2018-01-01 04:00:00,"SO2",0
60512,"Hamilton","ON",43.25778,-79.86167,2018-01-01 05:00:00,"O3",4
60512,"Hamilton","ON",43.25778,-79.86167,2018-01-01 05:00:00,"NO2",41
60512,"Hamilton","ON",43.25778,-79.86167,2018-01-01 05:00:00,"SO2",0
60512,"Hamilton","ON",43.25778,-79.86167,2018-01-01 06:00:00,"O3",21
60512,"Hamilton","ON",43.25778,-79.86167,2018-01-01 06:00:00,"NO2",17
60512,"Hamilton","ON",43.25778,-79.86167,2018-01-01 06:00:00,"SO2",0
60512,"Hamilton","ON",43.25778,-79.86167,2018-01-01 07:00:00,"O3",21
60512,"Hamilton","ON",43.25778,-79.86167,2018-01-01 07:00:00,"NO2",16
60512,"Hamilton","ON",43.25778,-79.86167,2018-01-01 07:00:00,"SO2",0
60512,"Hamilton","ON",43.25778,-79.86167,2018-01-01 08:00:00,"O3",25
60512,"Hamilton","ON",43.25778,-79.86167,2018-01-01 08:00:00,"NO2",12
60512,"Hamilton","ON",43.25778,-79.86167,2018-01-01 08:00:00,"SO2",0
60512,"Hamilton","ON",43.25778,-79.86167,2018-01-01 09:00:00,"O3",27
60512,"Hamilton","ON",43.25778,-79.86167,2018-01-01 09:00:00,"NO2",11
60512,"Hamilton","ON",43.25778,-79.86167,2018-01-01 09:00:00,"SO2",0
60512,"Hamilton","ON",43.25778,-79.86167,2018-01-01 10:00:00,"O3",30
60512,"Hamilton","ON",43.25778,-79.86167,2018-01-01 10:00:00,"NO2",7
60512,"Hamilton","ON",43.25778,-79.86167,2018-01-01 10:00:00,"SO2",0
60512,"Hamilton","ON",43.25778,-79.86167,2018-01-01 11:00:00,"O3",33
60512,"Hamilton","ON",43.25778,-79.86167,2018-01-01 11:00:00,"NO2",5
60512,"Hamilton","ON",43.25778,-79.86167,2018-01-01 11:00:00,"SO2",0
60512,"Hamilton","ON",43.25778,-79.86167,2018-01-01 12:00:00,"O3",34
60512,"Hamilton","ON",43.25778,-79.86167,2018-01-01 12:00:00,"NO2",5
60512,"Hamilton","ON",43.25778,-79.86167,2018-01-01 12:00:00,"SO2",0
60512,"Hamilton","ON",43.25778,-79.86167,2018-01-01 13:00:00,"O3",33
60512,"Hamilton","ON",43.25778,-79.86167,2018-01-01 13:00:00,"NO2",6
60512,"Hamilton","ON",43.25778,-79.86167,2018-01-01 13:00:00,"SO2",0
60512,"Hamilton","ON",43.25778,-79.86167,2018-01-01 14:00:00,"O3",33
60512,"Hamilton","ON",43.25778,-79.86167,2018-01-01 14:00:00,"NO2",6
60512,"Hamilton","ON",43.25778,-79.86167,2018-01-01 14:00:00,"SO2",0
60512,"Hamilton","ON",43.25778,-79.86167,2018-01-01 15:00:00,"O3",32
60512,"Hamilton","ON",43.25778,-79.86167,2018-01-01 15:00:00,"NO2",6
60512,"Hamilton","ON",43.25778,-79.86167,2018-01-01 15:00:00,"SO2",0
60512,"Hamilton","ON",43.25778,-79.86167,2018-01-01 16:00:00,"O3",30
60512,"Hamilton","ON",43.25778,-79.86167,2018-01-01 16:00:00,"NO2",7
60512,"Hamilton","ON",43.25778,-79.86167,2018-01-01 16:00:00,"SO2",0
60512,"Hamilton","ON",43.25778,-79.86167,2018-01-01 17:00:00,"O3",28
60512,"Hamilton","ON",43.25778,-79.86167,2018-01-01 17:00:00,"NO2",9
60512,"Hamilton","ON",43.25778,-79.86167,2018-01-01 17:00:00,"SO2",1
60512,"Hamilton","ON",43.25778,-79.86167,2018-01-01 18:00:00,"O3",30
60512,"Hamilton","ON",43.25778,-79.86167,2018-01-01 18:00:00,"NO2",8
60512,"Hamilton","ON",43.25778,-79.86167,2018-01-01 18:00:00,"SO2",0
60512,"Hamilton","ON",43.25778,-79.86167,2018-01-01 19:00:00,"O3",28
60512,"Hamilton","ON",43.25778,-79.86167,2018-01-01 19:00:00,"NO2",10
60512,"Hamilton","ON",43.25778,-79.86167,2018-01-01 19:00:00,"SO2",0
60512,"Hamilton","ON",43.25778,-79.86167,2018-01-01 20:00:00,"O3",28
60512,"Hamilton","ON",43.25778,-79.86167,2018-01-01 20:00:00,"NO2",10
60512,"Hamilton","ON",43.25778,-79.86167,2018-01-01 20:00:00,"SO2",0
60512,"Hamilton","ON",43.25778,-79.86167,2018-01-01 21:00:00,"O3",27
60512,"Hamilton","ON",43.25778,-79.86167,2018-01-01 21:00:00,"NO2",11
60512,"Hamilton","ON",43.25778,-79.86167,2018-01-01 21:00:00,"SO2",0
60512,"Hamilton","ON",43.25778,-79.86167,2018-01-01 22:00:00,"O3",29
60512,"Hamilton","ON",43.25778,-79.86167,2018-01-01 22:00:00,"NO2",8
60512,"Hamilton","ON",43.25778,-79.86167,2018-01-01 22:00:00,"SO2",0
60512,"Hamilton","ON",43.25778,-79.86167,2018-01-01 23:00:00,"O3",23
60512,"Hamilton","ON",43.25778,-79.86167,2018-01-01 23:00:00,"NO2",15
60512,"Hamilton","ON",43.25778,-79.86167,2018-01-01 23:00:00,"SO2",0
60512,"Hamilton","ON",43.25778,-79.86167,2018-01-02 00:00:00,"O3",25
60512,"Hamilton","ON",43.25778,-79.86167,2018-01-02 00:00:00,"NO2",12
60512,"Hamilton","ON",43.25778,-79.86167,2018-01-02 00:00:00,"SO2",0
60512,"Hamilton","ON",43.25778,-79.86167,2018-01-02 01:00:00,"O3",29
60512,"Hamilton","ON",43.25778,-79.86167,2018-01-02 01:00:00,"NO2",7
60512,"Hamilton","ON",43.25778,-79.86167,2018-01-02 01:00:00,"SO2",0
60512,"Hamilton","ON",43.25778,-79.86167,2018-01-02 02:00:00,"O3",29
60512,"Hamilton","ON",43.25778,-79.86167,2018-01-02 02:00:00,"NO2",7
60512,"Hamilton","ON",43.25778,-79.86167,2018-01-02 02:00:00,"SO2",0
60512,"Hamilton","ON",43.25778,-79.86167,2018-01-02 03:00:00,"O3",29
60512,"Hamilton","ON",43.25778,-79.86167,2018-01-02 03:00:00,"NO2",7
60512,"Hamilton","ON",43.25778,-79.86167,2018-01-02 03:00:00,"SO2",0
60512,"Hamilton","ON",43.25778,-79.86167,2018-01-02 04:00:00,"O3",29
60512,"Hamilton","ON",43.25778,-79.86167,2018-01-02 04:00:00,"NO2",7
60512,"Hamilton","ON",43.25778,-79.86167,2018-01-02 04:00:00,"SO2",1
60512,"Hamilton","ON",43.25778,-79.86167,2018-01-02 05:00:00,"O3",29
60512,"Hamilton","ON",43.25778,-79.86167,2018-01-02 05:00:00,"NO2",7
60512,"Hamilton","ON",43.25778,-79.86167,2018-01-02 05:00:00,"SO2",0
60512,"Hamilton","ON",43.25778,-79.86167,2018-01-02 06:00:00,"O3",24
60512,"Hamilton","ON",43.25778,-79.86167,2018-01-02 06:00:00,"NO2",14
60512,"Hamilton","ON",43.25778,-79.86167,2018-01-02 06:00:00,"SO2",1
