"naps","city","p","latitude","longitude","date.time","pollutant","concentration"
90120,"Edmonton","AB",53.5001,-113.5261,2018-01-01 00:00:00,"O3",18
90120,"Edmonton","AB",53.5001,-113.5261,2018-01-01 00:00:00,"NO2",16
90120,"Edmonton","AB",53.5001,-113.5261,2018-01-01 00:00:00,"SO2",0
90120,"Edmonton","AB",53.5001,-113.5261,2018-01-01 01:00:00,"O3",17
90120,"Edmonton","AB",53.5001,-113.5261,2018-01-01 01:00:00,"NO2",17
90120,"Edmonton","AB",53.5001,-113.5261,2018-01-01 01:00:00,"SO2",0
90120,"Edmonton","AB",53.5001,-113.5261,2018-01-01 02:00:00,"O3",14
90120,"Edmonton","AB",53.5001,-113.5261,2018-01-01 02:00:00,"NO2",19
90120,"Edmonton","AB",53.5001,-113.5261,2018-01-01 02:00:00,"SO2",0
90120,"Edmonton","AB",53.5001,-113.5261,2018-01-01 03:00:00,"O3",NA
90120,"Edmonton","AB",53.5001,-113.5261,2018-01-01 03:00:00,"NO2",NA
90120,"Edmonton","AB",53.5001,-113.5261,2018-01-01 03:00:00,"SO2",NA
90120,"Edmonton","AB",53.5001,-113.5261,2018-01-01 04:00:00,"O3",14
90120,"Edmonton","AB",53.5001,-113.5261,2018-01-01 04:00:00,"NO2",18
90120,"Edmonton","AB",53.5001,-113.5261,2018-01-01 04:00:00,"SO2",0
90120,"Edmonton","AB",53.5001,-113.5261,2018-01-01 05:00:00,"O3",13
90120,"Edmonton","AB",53.5001,-113.5261,2018-01-01 05:00:00,"NO2",19
90120,"Edmonton","AB",53.5001,-113.5261,2018-01-01 05:00:00,"SO2",0
90120,"Edmonton","AB",53.5001,-113.5261,2018-01-01 06:00:00,"O3",12
90120,"Edmonton","AB",53.5001,-113.5261,2018-01-01 06:00:00,"NO2",19
90120,"Edmonton","AB",53.5001,-113.5261,2018-01-01 06:00:00,"SO2",0
90120,"Edmonton","AB",53.5001,-113.5261,2018-01-01 07:00:00,"O3",9
90120,"Edmonton","AB",53.5001,-113.5261,2018-01-01 07:00:00,"NO2",22
90120,"Edmonton","AB",53.5001,-113.5261,2018-01-01 07:00:00,"SO2",0
90120,"Edmonton","AB",53.5001,-113.5261,2018-01-01 08:00:00,"O3",7
90120,"Edmonton","AB",53.5001,-113.5261,2018-01-01 08:00:00,"NO2",26
90120,"Edmonton","AB",53.5001,-113.5261,2018-01-01 08:00:00,"SO2",0
90120,"Edmonton","AB",53.5001,-113.5261,2018-01-01 09:00:00,"O3",13
