"naps","city","p","latitude","longitude","date.time","pollutant","concentration"
10102,"St Johns","NL",47.56038,-52.71147,2018-07-01 00:00:00,"O3",19
10102,"St Johns","NL",47.56038,-52.71147,2018-07-01 00:00:00,"NO2",2
10102,"St Johns","NL",47.56038,-52.71147,2018-07-01 00:00:00,"SO2",1
10102,"St Johns","NL",47.56038,-52.71147,2018-07-01 01:00:00,"O3",16
10102,"St Johns","NL",47.56038,-52.71147,2018-07-01 01:00:00,"NO2",2
10102,"St Johns","NL",47.56038,-52.71147,2018-07-01 01:00:00,"SO2",1
10102,"St Johns","NL",47.56038,-52.71147,2018-07-01 02:00:00,"O3",15
10102,"St Johns","NL",47.56038,-52.71147,2018-07-01 02:00:00,"NO2",2
10102,"St Johns","NL",47.56038,-52.71147,2018-07-01 02:00:00,"SO2",1
10102,"St Johns","NL",47.56038,-52.71147,2018-07-01 03:00:00,"O3",15
10102,"St Johns","NL",47.56038,-52.71147,2018-07-01 03:00:00,"NO2",2
10102,"St Johns","NL",47.56038,-52.71147,2018-07-01 03:00:00,"SO2",1
10102,"St Johns","NL",47.56038,-52.71147,2018-07-01 04:00:00,"O3",12
10102,"St Johns","NL",47.56038,-52.71147,2018-07-01 04:00:00,"NO2",4
10102,"St Johns","NL",47.56038,-52.71147,2018-07-01 04:00:00,"SO2",1
10102,"St Johns","NL",47.56038,-52.71147,2018-07-01 05:00:00,"O3",13
10102,"St Johns","NL",47.56038,-52.71147,2018-07-01 05:00:00,"NO2",4
10102,"St Johns","NL",47.56038,-52.71147,2018-07-01 05:00:00,"SO2",1
10102,"St Johns","NL",47.56038,-52.71147,2018-07-01 06:00:00,"O3",6
10102,"St Johns","NL",47.56038,-52.71147,2018-07-01 06:00:00,"NO2",12
10102,"St Johns","NL",47.56038,-52.71147,2018-07-01 06:00:00,"SO2",1
10102,"St Johns","NL",47.56038,-52.71147,2018-07-01 07:00:00,"O3",3
10102,"St Johns","NL",47.56038,-52.71147,2018-07-01 07:00:00,"NO2",17
10102,"St Johns","NL",47.56038,-52.71147,2018-07-01 07:00:00,"SO2",2
10102,"St Johns","NL",47.56038,-52.71147,2018-07-01 08:00:00,"O3",5
10102,"St Johns","NL",47.56038,-52.71147,2018-07-01 08:00:00,"NO2",16
10102,"St Johns","NL",47.56038,-52.71147,2018-07-01 08:00:00,"SO2",3
10102,"St Johns","NL",47.56038,-52.71147,2018-07-01 09:00:00,"O3",12
10102,"St Johns","NL",47.56038,-52.71147,2018-07-01 09:00:00,"NO2",10
10102,"St Johns","NL",47.56038,-52.71147,2018-07-01 09:00:00,"SO2",1
10102,"St Johns","NL",47.56038,-52.71147,2018-07-01 10:00:00,"O3",18
10102,"St Johns","NL",47.56038,-52.71147,2018-07-01 10:00:00,"NO2",2
10102,"St Johns","NL",47.56038,-52.71147,2018-07-01 10:00:00,"SO2",1
10102,"St Johns","NL",47.56038,-52.71147,2018-07-01 11:00:00,"O3",9
10102,"St Johns","NL",47.56038,-52.71147,2018-07-01 11:00:00,"NO2",11
10102,"St Johns","NL",47.56038,-52.71147,2018-07-01 11:00:00,"SO2",1
10102,"St Johns","NL",47.56038,-52.71147,2018-07-01 12:00:00,"O3",15
10102,"St Johns","NL",47.56038,-52.71147,2018-07-01 12:00:00,"NO2",6
10102,"St Johns","NL",47.56038,-52.71147,2018-07-01 12:00:00,"SO2",1
